"full","location","plot","treat","BI","KEY"
"B1_LC_9","S9","B1","LC",0.104234274928369,"B1LCS9"
"B2_LC_1","S1","B2","LC",0.129037839671566,"B2LCS1"
"B2_LC_10","S10","B2","LC",0.113970567881606,"B2LCS10"
"B2_LC_11","S11","B2","LC",0.12272400727701,"B2LCS11"
"B2_LC_12","S12","B2","LC",0.0809445624587909,"B2LCS12"
"B2_LC_13","S13","B2","LC",0.133839450980615,"B2LCS13"
"B2_LC_14","S14","B2","LC",0.121907159375143,"B2LCS14"
"B2_LC_15","S15","B2","LC",0.122194023912868,"B2LCS15"
"B2_LC_2","S2","B2","LC",0.117511866901864,"B2LCS2"
"B2_LC_3","S3","B2","LC",0.0578373547849397,"B2LCS3"
"B2_LC_4","S4","B2","LC",0.12704820967038,"B2LCS4"
"B2_LC_5","S5","B2","LC",0.122952725381109,"B2LCS5"
"B2_LC_6","S6","B2","LC",0.0632618529723981,"B2LCS6"
"B2_LC_7","S7","B2","LC",0.106774715980234,"B2LCS7"
"B2_LC_8","S8","B2","LC",0.111257271006665,"B2LCS8"
"B2_LC_9","S9","B2","LC",0.096181425290826,"B2LCS9"
"B3_LC_1","S1","B3","LC",0.130452176448231,"B3LCS1"
"B3_LC_10","S10","B3","LC",0.121656778992249,"B3LCS10"
"B3_LC_11","S11","B3","LC",0.155348436004558,"B3LCS11"
"B3_LC_12","S12","B3","LC",0.128427719462176,"B3LCS12"
"B3_LC_13","S13","B3","LC",0.103343730638304,"B3LCS13"
"B3_LC_14","S14","B3","LC",0.12620438067469,"B3LCS14"
"B3_LC_15","S15","B3","LC",0.0676164069341698,"B3LCS15"
"B3_LC_2","S2","B3","LC",0.0903995234271662,"B3LCS2"
"B3_LC_3","S3","B3","LC",0.0866714324727607,"B3LCS3"
"B3_LC_4","S4","B3","LC",0.136636667513075,"B3LCS4"
"B3_LC_5","S5","B3","LC",0.0914252117096749,"B3LCS5"
"B3_LC_6","S6","B3","LC",0.071160351103009,"B3LCS6"
"B3_LC_7","S7","B3","LC",0.155374138381419,"B3LCS7"
"B3_LC_8","S8","B3","LC",0.136264733556046,"B3LCS8"
"B3_LC_9","S9","B3","LC",0.0595989948306158,"B3LCS9"
"B4_LC_1","S1","B4","LC",0.125876162266463,"B4LCS1"
"B4_LC_10","S10","B4","LC",0.143136489273686,"B4LCS10"
"B4_LC_11","S11","B4","LC",0.12963913167592,"B4LCS11"
"B4_LC_12","S12","B4","LC",0.0944163048234961,"B4LCS12"
"B4_LC_13","S13","B4","LC",0.137495458776231,"B4LCS13"
"B4_LC_14","S14","B4","LC",0.0989120385384511,"B4LCS14"
"B4_LC_15","S15","B4","LC",0.120912115717604,"B4LCS15"
"B4_LC_2","S2","B4","LC",0.115506263897308,"B4LCS2"
"B4_LC_3","S3","B4","LC",0.109963187242868,"B4LCS3"
"B4_LC_4","S4","B4","LC",0.119007504772732,"B4LCS4"
"B4_LC_5","S5","B4","LC",0.133972487430408,"B4LCS5"
