"ID","Plot","Treat","Type","Rep","NDVI","CI1","CI2"
"B2_CC_MSS_1","B2","CC","MSS","1","0.322214179074543","0.430024618898365","0.0822965003003342"
"B2_CC_MSS_2","B2","CC","MSS","2","0.311657694179426","0.354905682098425","0.0769454572363323"
"B2_CC_MSS_3","B2","CC","MSS","3","0.358191083460649","0.443521457391656","0.0975414913431928"
"B2_LC_LCY_1","B2","LC","LCY","1","0.122624153974539","0.415718668457214","0.030989552878082"
"B2_LC_LCY_2","B2","LC","LCY","2","0.123340408752028","0.416422512937956","0.0306900110303906"
"B2_LC_LCY_3","B2","LC","LCY","3","0.124524029456045","0.401375602065942","0.0305679321145996"
"B2_LC_DCY_1","B2","LC","DCY","1","0.150965697104809","0.343782829520509","0.0328986658412399"
"B2_LC_DCY_2","B2","LC","DCY","2","0.113765047181432","0.332412539675181","0.0259645503683369"
"B2_LC_DCY_3","B2","LC","DCY","3","0.175127116946566","0.30052749838338","0.0355508765233109"
"B2_LC_LCN_1","B2","LC","LCN","1","0.116784513526231","0.226584548333497","0.0290325910695615"
"B2_LC_LCN_2","B2","LC","LCN","2","0.262818189545856","0.316009877083521","0.0631848121006519"
"B2_LC_LCN_3","B2","LC","LCN","3","0.286153967614586","0.345359840704531","0.0712651912286095"
"B2_LC_MSS_1","B2","LC","MSS","1","0.330554319230438","0.449039734767482","0.0940348994870852"
"B2_LC_MSS_2","B2","LC","MSS","2","0.36362700956003","0.458913024789825","0.111623256646174"
"B2_LC_MSS_3","B2","LC","MSS","3","0.34230067649311","0.440604957861695","0.112657045088088"
"B2_LW_LCY_1","B2","LW","LCY","1","0.122956965946534","0.420478659178466","0.030952774376504"
"B2_LW_LCY_2","B2","LW","LCY","2","0.0986198091803316","0.39506554125485","0.0264077136010527"
"B2_LW_LCY_3","B2","LW","LCY","3","0.104258530794303","0.397379684001094","0.0273908052828305"
"B2_LW_DCY_1","B2","LW","DCY","1","0.170512794236831","0.320791312579534","0.0344717856517256"
"B2_LW_DCY_2","B2","LW","DCY","2","0.137689974279933","0.402290198605128","0.0331634183059177"
"B2_LW_DCY_3","B2","LW","DCY","3","0.136957961711676","0.355937333458793","0.0303883674054291"
"B2_LW_LCN_1","B2","LW","LCN","1","0.181498675336026","0.343937789907497","0.0370587869929733"
"B2_LW_LCN_2","B2","LW","LCN","2","0.2203537139292","0.383058117903116","0.0603664742119907"
"B2_LW_LCN_3","B2","LW","LCN","3","0.159112409515397","0.377173178192495","0.0395781895858772"
"B2_LW_MSS_1","B2","LW","MSS","1","0.202706995441906","0.388508581003936","0.0553176339430839"
"B2_LW_MSS_2","B2","LW","MSS","2","0.297349980729423","0.431164213144831","0.0944687780615985"
"B2_LW_MSS_3","B2","LW","MSS","3","0.164508899101774","0.38576873209578","0.0435681752029288"
"B2_CW_LCY_1","B2","CW","LCY","1","0.113246790987272","0.416758536697907","0.0295668687355485"
"B2_CW_LCY_2","B2","CW","LCY","2","0.106559377729034","0.422817045757631","0.0286929399972565"
"B2_CW_LCY_3","B2","CW","LCY","3","0.140716354437291","0.406784416885799","0.0338782961192494"
"B2_CW_DCY_1","B2","CW","DCY","1","0.149538382287737","0.352842168567627","0.0316551570558422"
"B2_CW_DCY_2","B2","CW","DCY","2","0.135250462381051","0.320184084404282","0.0281286914485218"
"B2_CW_DCY_3","B2","CW","DCY","3","0.137277777294528","0.382588125928578","0.0310630112127368"
"B2_CW_LCN_1","B2","CW","LCN","1","0.196273624599052","0.358484164217921","0.0419658853330642"
"B2_CW_LCN_2","B2","CW","LCN","2","0.20801786599535","0.35365877249053","0.0481778454885639"
"B2_CW_LCN_3","B2","CW","LCN","3","0.219952164083369","0.272243116452991","0.0423695322806448"
"B2_CW_MSS_1","B2","CW","MSS","1","0.176642941907815","0.33203842719054","0.0394965770463988"
"B2_CW_MSS_2","B2","CW","MSS","2","0.191603630527574","0.378386266864467","0.0461673808912341"
"B2_CW_MSS_3","B2","CW","MSS","3","0.250998959911088","0.39238188575526","0.0666267135260938"
"B3_LC_LCY_1","B3","LC","LCY","1","0.125181011133406","0.41180630033644","0.0312104817140461"
"B3_LC_LCY_2","B3","LC","LCY","2","0.11604413154003","0.406910173572444","0.0293475357843181"
"B3_LC_LCY_3","B3","LC","LCY","3","0.12226255279281","0.419164743494574","0.0310387705860029"
"B3_LC_DCY_1","B3","LC","DCY","1","0.160891138281785","0.355610574620952","0.0356678426106255"
"B3_LC_DCY_2","B3","LC","DCY","2","0.140030253211453","0.367040708247346","0.0327713564230129"
"B3_LC_DCY_3","B3","LC","DCY","3","0.151079396686364","0.363346344843006","0.0358462809789393"
"B3_LC_LCN_1","B3","LC","LCN","1","0.147195939420292","0.396696019567418","0.0358512247947747"
"B3_LC_LCN_2","B3","LC","LCN","2","0.19883433465164","0.324408549085073","0.0422927709696616"
"B3_LC_LCN_3","B3","LC","LCN","3","0.163332635239924","0.336042092332197","0.0342979333400454"
"B3_LC_MSS_1","B3","LC","MSS","1","0.237410525934145","0.412204550833492","0.063240649188437"
"B3_LC_MSS_2","B3","LC","MSS","2","0.197990975610479","0.409212952362427","0.0517141235081881"
"B3_LC_MSS_3","B3","LC","MSS","3","0.251196572353252","0.424445672681042","0.0725005246139208"
"B3_CW_LCY_1","B3","CW","LCY","1","0.123166678812617","0.415292123451479","0.0311572207014365"
"B3_CW_LCY_2","B3","CW","LCY","2","0.122372352839857","0.407709998142681","0.0298992066941401"
"B3_CW_LCY_3","B3","CW","LCY","3","0.1172959576631","0.392046660037847","0.0282446390812216"
"B3_CW_DCY_1","B3","CW","DCY","1","0.195197353588283","0.340398197718448","0.0392631724900084"
"B3_CW_DCY_2","B3","CW","DCY","2","0.177479967584988","0.35497736842691","0.0367088305501599"
