ID,Plot,Treat,Sensor,CBLUE,BLUE,GREEN,YELLOW,RED,REDEDGE,NIR,NDVI,CI1,CI2,Temperature Index
B3_LW,B3,LW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731.7709
B3_CW,B3,CW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.2445
B4_CC,B4,CC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734.6951
B4_LC,B4,LC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731.2415
B4_LW,B4,LW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730.5439
B4_CW,B4,CW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.0072
B5_CC,B5,CC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.2312
B5_LC,B5,LC,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.5761
B5_LW,B5,LW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729.7974
B5_CW,B5,CW,XT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.5761
