"Spectra","Plot","Block","Treatment","Litter","Rock","Bare","Live","Dead","Lichen","Moss","Dark","Light"
"S11","B","1","C","0.1","0.05","0","0.1","0.05","0.15","0","0.15","0.55"
"S11","B","2","C","0.95","0","0","0.6","0","0","0.05","0.05","0.05"
"S11","B","3","C","0.4","0","0","0.1","0","0","0.7","0","0.05"
"S11","B","4","C","0.6","0.05","0","0.9","0.25","0.1","0.4","0.05","0.1"
"S11","B","5","C","0.6","0.1","0","0.85","0.8","0","0.5","0.1","0"
"S11","B","1","L","0.45","0.15","0","0.05","0","0","0","0","0.5"
"S11","B","2","L","0.75","0.1","0.05","0.05","0","0","0","0","0.15"
"S11","B","3","L","0.5","0.15","0","0.05","0","0.05","0.05","0","0.4"
"S11","B","4","L","0.65","0.1","0","0.25","0","0.05","0","0.05","0.55"
"S11","B","5","L","0.8","0","0","0.2","0","0","0.05","0","0.6"
"S11","B","1","LW","0.25","0","0","0.25","0.05","0","0","0","0.7"
"S11","B","2","LW","0","0.05","0","0","0","0","0","0","0.95"
"S11","B","3","LW","0.7","0","0","0.1","0","0","0","0","0.35"
"S11","B","4","LW","1","0.15","0","0.05","0","0","0","0","0.25"
"S11","B","5","LW","0.45","0.4","0","0.25","0.15","0","0","0","0.1"
"S11","B","1","W","0.6","0","0","0.8","0.2","0","0","0.4","0.2"
"S11","B","2","W","0.55","0","0","0.4","0.05","0","0","0.4","0.05"
"S11","B","3","W","0.95","0","0","1.05","0.45","0","0","0.05","0.05"
"S11","B","4","W","0.35","0.1","0","0.25","0.15","0","0","0.2","0.5"
"S11","B","5","W","0.8","0","0","1.05","0.6","0","0.05","0","0.15"
"S12","B","1","C","0.28","0","0","0.4","0.28","0.08","0","0.08","0.64"
"S12","B","2","C","0.88","0","0","0.48","0.16","0","0","0.04","0.24"
"S12","B","3","C","0.4","0","0","0.36","0.08","0.12","0.2","0","0.36"
"S12","B","4","C","0.44","0.08","0","0.76","0.4","0.08","0.56","0.04","0"
"S12","B","5","C","0.6","0.04","0","0.28","0.12","0","0.24","0.2","0.04"
"S12","B","1","L","0.52","0","0","0.04","0.04","0","0","0.08","0.32"
"S12","B","2","L","0.52","0","0","0.24","0.12","0","0","0","0.44"
"S12","B","3","L","0.64","0.04","0","0.68","0.12","0","0.04","0.08","0.24"
"S12","B","4","L","0.8","0.12","0","0.36","0","0","0","0","0.44"
"S12","B","5","L","0.64","0.08","0","0.2","0","0","0","0","0.56"
"S12","B","1","LW","0.48","0","0","0.12","0","0","0","0","0.6"
"S12","B","2","LW","0.2","0.08","0","0.08","0","0","0","0","0.8"
"S12","B","3","LW","0.64","0","0","0.24","0.2","0","0","0","0.4"
"S12","B","4","LW","0.6","0.2","0.2","0.08","0","0","0","0","0.36"
"S12","B","5","LW","0.56","0.12","0","0.2","0.12","0","0","0","0.24"
"S12","B","1","W","0.16","0.04","0","0.4","0.12","0.04","0","0.32","0.4"
"S12","B","2","W","0.32","0.2","0","0.12","0.08","0","0","0.04","0.44"
"S12","B","3","W","0.44","0.04","0","0.08","0.04","0.04","0.08","0.16","0.36"
"S12","B","4","W","0.48","0.16","0","0.52","0.08","0.04","0","0.16","0.24"
"S12","B","5","W","0.4","0.04","0","0.68","0.32","0","0.04","0","0.72"
