Dir,Plot,Tmp,Wtr,Treat,Rep,Loc,File
Plot_1meter,B2,L,C,LC,1,13,486
Plot_1meter,B2,L,C,LC,2,13,487
Plot_1meter,B2,L,C,LC,3,13,488
Plot_1meter,B2,L,C,LC,1,14,489
Plot_1meter,B2,L,C,LC,2,14,490
Plot_1meter,B2,L,C,LC,3,14,491
Plot_1meter,B2,L,C,LC,1,15,492
Plot_1meter,B2,L,C,LC,2,15,493
Plot_1meter,B2,L,C,LC,3,15,494
Plot_1meter,B2,L,W,LW,1,1,540
Plot_1meter,B2,L,W,LW,2,1,541
Plot_1meter,B2,L,W,LW,3,1,542
Plot_1meter,B2,L,W,LW,1,2,543
Plot_1meter,B2,L,W,LW,2,2,544
Plot_1meter,B2,L,W,LW,3,2,545
Plot_1meter,B2,L,W,LW,1,3,546
Plot_1meter,B2,L,W,LW,2,3,547
Plot_1meter,B2,L,W,LW,3,3,548
Plot_1meter,B2,L,W,LW,1,4,549
Plot_1meter,B2,L,W,LW,2,4,550
Plot_1meter,B2,L,W,LW,3,4,551
Plot_1meter,B2,L,W,LW,1,5,552
Plot_1meter,B2,L,W,LW,2,5,553
Plot_1meter,B2,L,W,LW,3,5,554
Plot_1meter,B2,L,W,LW,1,6,555
Plot_1meter,B2,L,W,LW,2,6,556
Plot_1meter,B2,L,W,LW,3,6,557
Plot_1meter,B2,L,W,LW,1,7,558
Plot_1meter,B2,L,W,LW,2,7,559
Plot_1meter,B2,L,W,LW,3,7,560
Plot_1meter,B2,L,W,LW,1,8,561
Plot_1meter,B2,L,W,LW,2,8,562
Plot_1meter,B2,L,W,LW,3,8,563
Plot_1meter,B2,L,W,LW,1,9,564
Plot_1meter,B2,L,W,LW,2,9,565
Plot_1meter,B2,L,W,LW,3,9,566
Plot_1meter,B2,L,W,LW,1,10,567
Plot_1meter,B2,L,W,LW,2,10,568
Plot_1meter,B2,L,W,LW,3,10,569
Plot_1meter,B2,L,W,LW,1,11,570
Plot_1meter,B2,L,W,LW,2,11,571
Plot_1meter,B2,L,W,LW,3,11,572
Plot_1meter,B2,L,W,LW,1,12,573
Plot_1meter,B2,L,W,LW,2,12,574
Plot_1meter,B2,L,W,LW,3,12,575
Plot_1meter,B2,L,W,LW,1,13,576
Plot_1meter,B2,L,W,LW,2,13,577
Plot_1meter,B2,L,W,LW,3,13,578
Plot_1meter,B2,L,W,LW,1,14,579
Plot_1meter,B2,L,W,LW,2,14,580
Plot_1meter,B2,L,W,LW,3,14,581
Plot_1meter,B2,L,W,LW,1,15,582
Plot_1meter,B2,L,W,LW,2,15,583
Plot_1meter,B2,L,W,LW,3,15,584
Plot_1meter,B2,C,W,CW,1,1,630
Plot_1meter,B2,C,W,CW,2,1,631
Plot_1meter,B2,C,W,CW,3,1,632
Plot_1meter,B2,C,W,CW,1,2,633
Plot_1meter,B2,C,W,CW,2,2,634
Plot_1meter,B2,C,W,CW,3,2,635
Plot_1meter,B2,C,W,CW,1,3,636
Plot_1meter,B2,C,W,CW,2,3,637
Plot_1meter,B2,C,W,CW,3,3,638
Plot_1meter,B2,C,W,CW,1,4,639
Plot_1meter,B2,C,W,CW,2,4,640
Plot_1meter,B2,C,W,CW,3,4,641
Plot_1meter,B2,C,W,CW,1,5,642
Plot_1meter,B2,C,W,CW,2,5,643
Plot_1meter,B2,C,W,CW,3,5,644
Plot_1meter,B2,C,W,CW,1,6,645
Plot_1meter,B2,C,W,CW,2,6,646
Plot_1meter,B2,C,W,CW,3,6,647
Plot_1meter,B2,C,W,CW,1,7,648
Plot_1meter,B2,C,W,CW,2,7,649
Plot_1meter,B2,C,W,CW,3,7,650
Plot_1meter,B2,C,W,CW,1,8,651
Plot_1meter,B2,C,W,CW,2,8,652
Plot_1meter,B2,C,W,CW,3,8,653
Plot_1meter,B2,C,W,CW,1,9,654
Plot_1meter,B2,C,W,CW,2,9,655
Plot_1meter,B2,C,W,CW,3,9,656
Plot_1meter,B2,C,W,CW,1,10,657
Plot_1meter,B2,C,W,CW,2,10,658
Plot_1meter,B2,C,W,CW,3,10,659
Plot_1meter,B2,C,W,CW,1,11,660
Plot_1meter,B2,C,W,CW,2,11,661
Plot_1meter,B2,C,W,CW,3,11,662
Plot_1meter,B2,C,W,CW,1,12,663
Plot_1meter,B2,C,W,CW,2,12,664
Plot_1meter,B2,C,W,CW,3,12,665
Plot_1meter,B2,C,W,CW,1,13,666
Plot_1meter,B2,C,W,CW,2,13,667
Plot_1meter,B2,C,W,CW,3,13,668
Plot_1meter,B2,C,W,CW,1,14,669
Plot_1meter,B2,C,W,CW,2,14,670
Plot_1meter,B2,C,W,CW,3,14,671
Plot_1meter,B2,C,W,CW,1,15,672
Plot_1meter,B2,C,W,CW,2,15,673
Plot_1meter,B2,C,W,CW,3,15,674
Plot_1meter,B3,C,C,CC,1,1,720
Plot_1meter,B3,C,C,CC,2,1,721
Plot_1meter,B3,C,C,CC,3,1,722
Plot_1meter,B3,C,C,CC,1,2,723
Plot_1meter,B3,C,C,CC,2,2,724
Plot_1meter,B3,C,C,CC,3,2,725
Plot_1meter,B3,C,C,CC,1,3,726
Plot_1meter,B3,C,C,CC,2,3,727
Plot_1meter,B3,C,C,CC,3,3,728
Plot_1meter,B3,C,C,CC,1,4,729
Plot_1meter,B3,C,C,CC,2,4,730
Plot_1meter,B3,C,C,CC,3,4,731
Plot_1meter,B3,C,C,CC,1,5,732
Plot_1meter,B3,C,C,CC,2,5,733
Plot_1meter,B3,C,C,CC,3,5,734
Plot_1meter,B3,C,C,CC,1,6,735
Plot_1meter,B3,C,C,CC,2,6,736
Plot_1meter,B3,C,C,CC,3,6,737
Plot_1meter,B3,C,C,CC,1,7,738
Plot_1meter,B3,C,C,CC,2,7,739
Plot_1meter,B3,C,C,CC,3,7,740
Plot_1meter,B3,C,C,CC,1,8,741
Plot_1meter,B3,C,C,CC,2,8,742
Plot_1meter,B3,C,C,CC,3,8,743
Plot_1meter,B3,C,C,CC,1,9,744
Plot_1meter,B3,C,C,CC,2,9,745
Plot_1meter,B3,C,C,CC,3,9,746
Plot_1meter,B3,C,C,CC,1,10,747
Plot_1meter,B3,C,C,CC,2,10,748
Plot_1meter,B3,C,C,CC,3,10,749
Plot_1meter,B3,C,C,CC,1,11,750
Plot_1meter,B3,C,C,CC,2,11,751
Plot_1meter,B3,C,C,CC,3,11,752
Plot_1meter,B3,C,C,CC,1,12,753
Plot_1meter,B3,C,C,CC,2,12,754
Plot_1meter,B3,C,C,CC,3,12,755
Plot_1meter,B3,C,C,CC,1,13,756
Plot_1meter,B3,C,C,CC,2,13,757
Plot_1meter,B3,C,C,CC,3,13,758
Plot_1meter,B3,C,C,CC,1,14,759
Plot_1meter,B3,C,C,CC,2,14,760
Plot_1meter,B3,C,C,CC,3,14,761
Plot_1meter,B3,C,C,CC,1,15,762
Plot_1meter,B3,C,C,CC,2,15,763
Plot_1meter,B3,C,C,CC,3,15,764
Plot_1meter,B3,L,C,LC,1,1,810
Plot_1meter,B3,L,C,LC,2,1,811
Plot_1meter,B3,L,C,LC,3,1,812
Plot_1meter,B3,L,C,LC,1,2,813
Plot_1meter,B3,L,C,LC,2,2,814
Plot_1meter,B3,L,C,LC,3,2,815
Plot_1meter,B3,L,C,LC,1,3,816
Plot_1meter,B3,L,C,LC,2,3,817
Plot_1meter,B3,L,C,LC,3,3,818
Plot_1meter,B3,L,C,LC,1,4,819
Plot_1meter,B3,L,C,LC,2,4,820
Plot_1meter,B3,L,C,LC,3,4,821
Plot_1meter,B3,L,C,LC,1,5,822
Plot_1meter,B3,L,C,LC,2,5,823
Plot_1meter,B3,L,C,LC,3,5,824
Plot_1meter,B3,L,C,LC,1,6,825
Plot_1meter,B3,L,C,LC,2,6,826
Plot_1meter,B3,L,C,LC,3,6,827
Plot_1meter,B3,L,C,LC,1,7,828
Plot_1meter,B3,L,C,LC,2,7,829
Plot_1meter,B3,L,C,LC,3,7,830
Plot_1meter,B3,L,C,LC,1,8,831
Plot_1meter,B3,L,C,LC,2,8,832
Plot_1meter,B3,L,C,LC,3,8,833
Plot_1meter,B3,L,C,LC,1,9,834
Plot_1meter,B3,L,C,LC,2,9,835
Plot_1meter,B3,L,C,LC,3,9,836
Plot_1meter,B3,L,C,LC,1,10,837
Plot_1meter,B3,L,C,LC,2,10,838
Plot_1meter,B3,L,C,LC,3,10,839
Plot_1meter,B3,L,C,LC,1,11,840
Plot_1meter,B3,L,C,LC,2,11,841
Plot_1meter,B3,L,C,LC,3,11,842
Plot_1meter,B3,L,C,LC,1,12,843
Plot_1meter,B3,L,C,LC,2,12,844
Plot_1meter,B3,L,C,LC,3,12,845
Plot_1meter,B3,L,C,LC,1,13,846
Plot_1meter,B3,L,C,LC,2,13,847
Plot_1meter,B3,L,C,LC,3,13,848
Plot_1meter,B3,L,C,LC,1,14,849
Plot_1meter,B3,L,C,LC,2,14,850
Plot_1meter,B3,L,C,LC,3,14,851
Plot_1meter,B3,L,C,LC,1,15,852
Plot_1meter,B3,L,C,LC,2,15,853
Plot_1meter,B3,L,C,LC,3,15,854
Plot_1meter,B3,C,W,CW,1,1,916
Plot_1meter,B3,C,W,CW,2,1,917
Plot_1meter,B3,C,W,CW,3,1,918
Plot_1meter,B3,C,W,CW,1,2,919
Plot_1meter,B3,C,W,CW,2,2,920
Plot_1meter,B3,C,W,CW,3,2,921
Plot_1meter,B3,C,W,CW,1,3,922
Plot_1meter,B3,C,W,CW,2,3,923
Plot_1meter,B3,C,W,CW,3,3,924
Plot_1meter,B3,C,W,CW,1,4,925
Plot_1meter,B3,C,W,CW,2,4,926
Plot_1meter,B3,C,W,CW,3,4,927
Plot_1meter,B3,C,W,CW,1,5,928
Plot_1meter,B3,C,W,CW,2,5,929
Plot_1meter,B3,C,W,CW,3,5,930
Plot_1meter,B3,C,W,CW,1,6,931
Plot_1meter,B3,C,W,CW,2,6,932
Plot_1meter,B3,C,W,CW,3,6,933
Plot_1meter,B3,C,W,CW,1,7,934
Plot_1meter,B3,C,W,CW,2,7,935
Plot_1meter,B3,C,W,CW,3,7,936
Plot_1meter,B3,C,W,CW,1,8,937
Plot_1meter,B3,C,W,CW,2,8,938
Plot_1meter,B3,C,W,CW,3,8,939
Plot_1meter,B3,C,W,CW,1,9,940
Plot_1meter,B3,C,W,CW,2,9,941
Plot_1meter,B3,C,W,CW,3,9,942
Plot_1meter,B3,C,W,CW,1,10,943
Plot_1meter,B3,C,W,CW,2,10,944
Plot_1meter,B3,C,W,CW,3,10,945
Plot_1meter,B3,C,W,CW,1,11,946
Plot_1meter,B3,C,W,CW,2,11,947
Plot_1meter,B3,C,W,CW,3,11,948
Plot_1meter,B3,C,W,CW,1,12,949
Plot_1meter,B3,C,W,CW,2,12,950
Plot_1meter,B3,C,W,CW,3,12,951
Plot_1meter,B3,C,W,CW,1,13,952
Plot_1meter,B3,C,W,CW,2,13,953
Plot_1meter,B3,C,W,CW,3,13,954
Plot_1meter,B3,C,W,CW,1,14,955
Plot_1meter,B3,C,W,CW,2,14,956
Plot_1meter,B3,C,W,CW,3,14,957
Plot_1meter,B3,C,W,CW,1,15,958
Plot_1meter,B3,C,W,CW,2,15,959
Plot_1meter,B3,C,W,CW,3,15,960
Plot_1meter,B3,L,W,LW,1,1,1006
Plot_1meter,B3,L,W,LW,2,1,1007
Plot_1meter,B3,L,W,LW,3,1,1008
Plot_1meter,B3,L,W,LW,1,2,1009
Plot_1meter,B3,L,W,LW,2,2,1010
Plot_1meter,B3,L,W,LW,3,2,1011
Plot_1meter,B3,L,W,LW,1,3,1012
Plot_1meter,B3,L,W,LW,2,3,1013
Plot_1meter,B3,L,W,LW,3,3,1014
Plot_1meter,B3,L,W,LW,1,4,1015
Plot_1meter,B3,L,W,LW,2,4,1016
Plot_1meter,B3,L,W,LW,3,4,1017
Plot_1meter,B3,L,W,LW,1,5,1018
Plot_1meter,B3,L,W,LW,2,5,1019
Plot_1meter,B3,L,W,LW,3,5,1020
Plot_1meter,B3,L,W,LW,1,6,1021
Plot_1meter,B3,L,W,LW,2,6,1022
Plot_1meter,B3,L,W,LW,3,6,1023
Plot_1meter,B3,L,W,LW,1,7,1024
Plot_1meter,B3,L,W,LW,2,7,1025
Plot_1meter,B3,L,W,LW,3,7,1026
Plot_1meter,B3,L,W,LW,1,8,1027
Plot_1meter,B3,L,W,LW,2,8,1028
Plot_1meter,B3,L,W,LW,3,8,1029
Plot_1meter,B3,L,W,LW,1,9,1030
Plot_1meter,B3,L,W,LW,2,9,1031
Plot_1meter,B3,L,W,LW,3,9,1032
Plot_1meter,B3,L,W,LW,1,10,1033
Plot_1meter,B3,L,W,LW,2,10,1034
Plot_1meter,B3,L,W,LW,3,10,1035
Plot_1meter,B3,L,W,LW,1,11,1036
Plot_1meter,B3,L,W,LW,2,11,1037
Plot_1meter,B3,L,W,LW,3,11,1038
Plot_1meter,B3,L,W,LW,1,12,1039
Plot_1meter,B3,L,W,LW,2,12,1040
Plot_1meter,B3,L,W,LW,3,12,1041
Plot_1meter,B3,L,W,LW,1,13,1042
Plot_1meter,B3,L,W,LW,2,13,1043
Plot_1meter,B3,L,W,LW,3,13,1044
Plot_1meter,B3,L,W,LW,1,14,1045
Plot_1meter,B3,L,W,LW,2,14,1046
Plot_1meter,B3,L,W,LW,3,14,1047
Plot_1meter,B3,L,W,LW,1,15,1048
Plot_1meter,B3,L,W,LW,2,15,1049
Plot_1meter,B3,L,W,LW,3,15,1050
Plot_1meter,B4,L,C,LC,1,1,1096
Plot_1meter,B4,L,C,LC,2,1,1097
Plot_1meter,B4,L,C,LC,3,1,1098
Plot_1meter,B4,L,C,LC,1,2,1099
Plot_1meter,B4,L,C,LC,2,2,1100
Plot_1meter,B4,L,C,LC,3,2,1101
Plot_1meter,B4,L,C,LC,1,3,1102
Plot_1meter,B4,L,C,LC,2,3,1103
Plot_1meter,B4,L,C,LC,3,3,1104
Plot_1meter,B4,L,C,LC,1,4,1105
Plot_1meter,B4,L,C,LC,2,4,1106
Plot_1meter,B4,L,C,LC,3,4,1107
Plot_1meter,B4,L,C,LC,1,5,1108
Plot_1meter,B4,L,C,LC,2,5,1109
Plot_1meter,B4,L,C,LC,3,5,1110
Plot_1meter,B4,L,C,LC,1,6,1111
Plot_1meter,B4,L,C,LC,2,6,1112
Plot_1meter,B4,L,C,LC,3,6,1113
Plot_1meter,B4,L,C,LC,1,7,1114
Plot_1meter,B4,L,C,LC,2,7,1115
Plot_1meter,B4,L,C,LC,3,7,1116
Plot_1meter,B4,L,C,LC,1,8,1117
